Serial No.,Make,Model,Year,Fuel Type Group,Engine HP,Engine Cylinders,Transmission Type,Driving Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,Highway Mileage (mpg),City Mileage (mpg),Popularity Rating,MSRP
1,BMW,1 Series M,2011,unleaded,335,6,MANUAL,rear wheel drive,2,Factory Tuner,Compact,Coupe,26,19,3916,46135
2,BMW,1 Series,2011,unleaded,300,6,MANUAL,rear wheel drive,2,Luxury,Compact,Convertible,28,19,3916,40650
3,BMW,1 Series,2011,unleaded,300,6,MANUAL,rear wheel drive,2,Luxury,Compact,Coupe,28,20,3916,36350
4,BMW,1 Series,2011,unleaded,230,6,MANUAL,rear wheel drive,2,Luxury,Compact,Coupe,28,18,3916,29450
5,BMW,1 Series,2011,unleaded,230,6,MANUAL,rear wheel drive,2,Luxury,Compact,Convertible,28,18,3916,34500
6,BMW,1 Series,2012,unleaded,230,6,MANUAL,rear wheel drive,2,Luxury,Compact,Coupe,28,18,3916,31200
7,BMW,1 Series,2012,unleaded,300,6,MANUAL,rear wheel drive,2,Luxury,Compact,Convertible,26,17,3916,44100
8,BMW,1 Series,2012,unleaded,300,6,MANUAL,rear wheel drive,2,Luxury,Compact,Coupe,28,20,3916,39300
9,BMW,1 Series,2012,unleaded,230,6,MANUAL,rear wheel drive,2,Luxury,Compact,Convertible,28,18,3916,36900
10,BMW,1 Series,2013,unleaded,230,6,MANUAL,rear wheel drive,2,Luxury,Compact,Convertible,27,18,3916,37200
11,BMW,1 Series,2013,unleaded,300,6,MANUAL,rear wheel drive,2,Luxury,Compact,Coupe,28,20,3916,39600
12,BMW,1 Series,2013,unleaded,230,6,MANUAL,rear wheel drive,2,Luxury,Compact,Coupe,28,19,3916,31500
13,BMW,1 Series,2013,unleaded,300,6,MANUAL,rear wheel drive,2,Luxury,Compact,Convertible,28,19,3916,44400
14,BMW,1 Series,2013,unleaded,230,6,MANUAL,rear wheel drive,2,Luxury,Compact,Convertible,28,19,3916,37200
15,BMW,1 Series,2013,unleaded,320,6,MANUAL,rear wheel drive,2,Luxury,Compact,Convertible,25,18,3916,48250
16,BMW,1 Series,2013,unleaded,320,6,MANUAL,rear wheel drive,2,Luxury,Compact,Coupe,28,20,3916,43550
17,Audi,100,1992,unleaded,172,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,24,17,3105,2000
18,Audi,100,1992,unleaded,172,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,20,16,3105,2000
19,Audi,100,1992,unleaded,172,6,MANUAL,all wheel drive,4,Luxury,Midsize,Sedan,21,16,3105,2000
20,Audi,100,1993,unleaded,172,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,24,17,3105,2000
21,Audi,100,1993,unleaded,172,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,20,16,3105,2000
22,Audi,100,1993,unleaded,172,6,MANUAL,all wheel drive,4,Luxury,Midsize,Sedan,21,16,3105,2000
23,Audi,100,1994,unleaded,172,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Wagon,21,16,3105,2000
24,Audi,100,1994,unleaded,172,6,MANUAL,all wheel drive,4,Luxury,Midsize,Sedan,22,16,3105,2000
25,Audi,100,1994,unleaded,172,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,22,17,3105,2000
26,Audi,100,1994,unleaded,172,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,22,16,3105,2000
27,Audi,100,1994,unleaded,172,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,21,16,3105,2000
28,FIAT,124 Spider,2017,unleaded,160,4,MANUAL,rear wheel drive,2,Performance,Compact,Convertible,35,26,819,27495
29,FIAT,124 Spider,2017,unleaded,160,4,MANUAL,rear wheel drive,2,Performance,Compact,Convertible,35,26,819,24995
30,FIAT,124 Spider,2017,unleaded,160,4,MANUAL,rear wheel drive,2,Performance,Compact,Convertible,35,26,819,28195
31,Mercedes-Benz,190-Class,1991,unleaded,130,4,MANUAL,rear wheel drive,4,Luxury,Compact,Sedan,26,18,617,2000
32,Mercedes-Benz,190-Class,1991,unleaded,158,6,MANUAL,rear wheel drive,4,Luxury,Compact,Sedan,25,17,617,2000
33,Mercedes-Benz,190-Class,1992,unleaded,158,6,MANUAL,rear wheel drive,4,Luxury,Compact,Sedan,25,17,617,2000
34,Mercedes-Benz,190-Class,1992,unleaded,130,4,MANUAL,rear wheel drive,4,Luxury,Compact,Sedan,26,18,617,2000
35,Mercedes-Benz,190-Class,1993,unleaded,130,4,MANUAL,rear wheel drive,4,Luxury,Compact,Sedan,26,18,617,2000
36,Mercedes-Benz,190-Class,1993,unleaded,158,6,MANUAL,rear wheel drive,4,Luxury,Compact,Sedan,25,17,617,2000
37,BMW,2 Series,2016,unleaded,240,4,AUTOMATIC,rear wheel drive,2,Luxury,Compact,Coupe,35,23,3916,32850
38,BMW,2 Series,2016,unleaded,240,4,AUTOMATIC,rear wheel drive,2,Luxury,Compact,Convertible,34,23,3916,38650
39,BMW,2 Series,2016,unleaded,320,6,AUTOMATIC,rear wheel drive,2,Factory Tuner,Compact,Convertible,31,20,3916,48750
40,BMW,2 Series,2016,unleaded,240,4,AUTOMATIC,all wheel drive,2,Luxury,Compact,Coupe,35,23,3916,34850
41,BMW,2 Series,2016,unleaded,240,4,AUTOMATIC,all wheel drive,2,Luxury,Compact,Convertible,34,22,3916,40650
42,BMW,2 Series,2016,unleaded,320,6,AUTOMATIC,rear wheel drive,2,Factory Tuner,Compact,Coupe,31,20,3916,44150
43,BMW,2 Series,2016,unleaded,240,4,MANUAL,rear wheel drive,2,Luxury,Compact,Coupe,34,22,3916,32850
44,BMW,2 Series,2016,unleaded,320,6,AUTOMATIC,all wheel drive,2,Factory Tuner,Compact,Coupe,30,20,3916,46150
45,BMW,2 Series,2016,unleaded,320,6,AUTOMATIC,rear wheel drive,2,Factory Tuner,Compact,Convertible,30,20,3916,50750
46,BMW,2 Series,2017,unleaded,335,6,AUTOMATIC,all wheel drive,2,Factory Tuner,Compact,Coupe,31,21,3916,46450
47,BMW,2 Series,2017,unleaded,335,6,AUTOMATIC,rear wheel drive,2,Factory Tuner,Compact,Convertible,32,21,3916,49050
48,BMW,2 Series,2017,unleaded,335,6,AUTOMATIC,all wheel drive,2,Factory Tuner,Compact,Convertible,32,21,3916,51050
49,BMW,2 Series,2017,unleaded,335,6,AUTOMATIC,rear wheel drive,2,Factory Tuner,Compact,Coupe,32,21,3916,44450
50,BMW,2 Series,2017,unleaded,248,4,AUTOMATIC,rear wheel drive,2,Luxury,Compact,Convertible,34,23,3916,38950
51,BMW,2 Series,2017,unleaded,248,4,AUTOMATIC,rear wheel drive,2,Luxury,Compact,Coupe,35,24,3916,33150
52,BMW,2 Series,2017,unleaded,248,4,AUTOMATIC,all wheel drive,2,Luxury,Compact,Coupe,33,24,3916,35150
53,BMW,2 Series,2017,unleaded,248,4,AUTOMATIC,all wheel drive,2,Luxury,Compact,Convertible,33,23,3916,40950
54,Audi,200,1990,unleaded,162,5,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,20,16,3105,2000
55,Audi,200,1990,unleaded,162,5,MANUAL,all wheel drive,4,Luxury,Midsize,Wagon,22,15,3105,2000
56,Audi,200,1990,unleaded,162,5,MANUAL,all wheel drive,4,Luxury,Midsize,Sedan,23,15,3105,2000
57,Audi,200,1991,unleaded,217,5,MANUAL,all wheel drive,4,Luxury,Midsize,Sedan,22,16,3105,2000
58,Audi,200,1991,unleaded,217,5,MANUAL,all wheel drive,4,Luxury,Midsize,Wagon,22,16,3105,2000
